,Date,Time,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
0,6 July 1960 (1960-07-06),20:00,France,Yugoslavia,4,5,Semi-finals,,Parc des Princes, Paris,26370,1960
1,6 July 1960 (1960-07-06),21:30,Czechoslovakia,Russia,0,3,Semi-finals,,Stade Vélodrome, Marseille,25184,1960
2,9 July 1960 (1960-07-09),21:30,Czechoslovakia,France,2,0,Third place play-off,,Stade Vélodrome, Marseille,9438,1960
3,10 July 1960 (1960-07-10),21:30,Russia,Yugoslavia,2,1,Final,Russia  win after extra time ,Parc des Princes, Paris,17966,1960
4,17 June 1964 (1964-06-17),20:00,Spain,Hungary,2,1,Semi-finals,Spain  win after extra time ,Santiago Bernabéu, Madrid,34713,1964
5,17 June 1964 (1964-06-17),22:30,Denmark,Russia,0,3,Semi-finals,,Camp Nou, Barcelona,38556,1964
6,20 June 1964 (1964-06-20),20:00,Hungary,Denmark,3,1,Third place play-off,Hungary  win after extra time ,Camp Nou, Barcelona,3869,1964
7,21 June 1964 (1964-06-21),18:30,Spain,Russia,2,1,Final,,Santiago Bernabéu, Madrid,79115,1964
8,5 June 1968 (1968-06-05),18:00,Italy,Russia,0,0,Semi-finals, Russia win after extra time ,Stadio San Paolo, Naples,68582,1968
9,5 June 1968 (1968-06-05),21:15,Yugoslavia,England,1,0,Semi-finals,,Stadio Comunale, Florence,21834,1968
10,8 June 1968 (1968-06-08),15:00,England,Russia,2,0,Third place play-off,,Stadio Olimpico, Rome,68817,1968
11,8 June 1968 (1968-06-08),21:15,Italy,Yugoslavia,1,1,Final, Yugoslavia win after extra time ,Stadio Olimpico, Rome,68817,1968
12,10 June 1968 (1968-06-10),21:15,Italy,Yugoslavia,2,0,Final,,Stadio Olimpico, Rome,32886,1968
13,14 June 1972 (1972-06-14),20:00,Hungary,Russia,0,1,Semi-finals,,Stade Émile Versé, Brussels,1659,1972
14,14 June 1972 (1972-06-14),20:00,Belgium,Germany,1,2,Semi-finals,,Bosuilstadion, Antwerp,55669,1972
15,17 June 1972 (1972-06-17),20:00,Hungary,Belgium,1,2,Third place play-off,,Stade Maurice Dufrasne, Liège,6184,1972
16,18 June 1972 (1972-06-18),16:00,Germany,Russia,3,0,Final,,Heysel Stadium, Brussels,43066,1972
17,16 June 1976 (1976-06-16),20:15,Czechoslovakia,Netherlands,3,1,Semi-finals,Czechoslovakia  win after extra time ,Stadion Maksimir, Zagreb,17879,1976
18,17 June 1976 (1976-06-17),20:15,Yugoslavia,Germany,2,4,Semi-finals, Germany win after extra time ,Red Star Stadium, Belgrade,50652,1976
19,19 June 1976 (1976-06-19),20:15,Netherlands,Yugoslavia,3,2,Third place play-off,Netherlands  win after extra time ,Stadion Maksimir, Zagreb,6766,1976
20,20 June 1976 (1976-06-20),20:15,Czechoslovakia,Germany,2,2,Final,Czechoslovakia  win on Penalities 5–3,Red Star Stadium, Belgrade,30790,1976
21,11 June 1980 (1980-06-11),17:45,Czechoslovakia,Germany,0,1,Group 1,,Stadio Olimpico, Rome,10500,1980
22,11 June 1980 (1980-06-11),20:30,Netherlands,Greece,1,0,Group 1,,Stadio San Paolo, Naples,14990,1980
