,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Year,HomeWin
249,Ukraine,Northern Ireland,0,2,2016,False
268,Portugal,Austria,0,0,2016,False
173,Switzerland,Czech Republic,0,1,2008,False
136,Italy,Romania,2,0,2000,True
41,Germany,Portugal,0,0,1984,False
204,Poland,Greece,1,1,2012,False
31,Spain,England,1,2,1980,False
235,France,Romania,2,1,2016,True
54,Germany,Spain,2,0,1988,True
241,Wales,Slovakia,2,1,2016,True
52,Germany,Denmark,2,0,1988,True
55,Italy,Denmark,2,0,1988,True
138,Spain,France,1,2,2000,False
187,Italy,Romania,1,1,2008,False
236,Albania,Switzerland,0,1,2016,False
230,Spain,France,2,0,2012,True
5,Denmark,Russia,0,3,1964,False
45,Germany,Spain,0,1,1984,False
107,Czech Republic,Portugal,1,0,1996,True
27,Belgium,England,1,1,1980,False
13,Hungary,Russia,0,1,1972,False
248,Germany,Ukraine,2,0,2016,True
130,Netherlands,Czech Republic,1,0,2000,True
255,Czech Republic,Croatia,2,2,2016,False
25,Netherlands,Czechoslovakia,1,1,1980,False
257,Czech Republic,Turkey,0,2,2016,False
102,Croatia,Portugal,0,3,1996,False
164,Netherlands,Latvia,3,0,2004,True
278,England,Iceland,1,2,2016,False
132,Denmark,Netherlands,0,3,2000,False
118,Turkey,Italy,1,2,2000,False
104,Spain,England,0,0,1996,False
206,Greece,Czech Republic,1,2,2012,False
181,Croatia,Germany,2,1,2008,True
252,Northern Ireland,Germany,0,1,2016,False
251,Ukraine,Poland,0,1,2016,False
209,Greece,Russia,1,0,2012,True
183,Poland,Croatia,0,1,2008,False
51,Denmark,Spain,2,3,1988,False
98,Denmark,Portugal,1,1,1996,False
157,Italy,Sweden,1,1,2004,False
100,Portugal,Turkey,1,0,1996,True
58,England,Netherlands,1,3,1988,False
201,Germany,Turkey,3,2,2008,True
214,Portugal,Netherlands,2,1,2012,True
285,Portugal,France,1,0,2016,True
40,Denmark,Belgium,3,2,1984,True
265,Austria,Hungary,0,2,2016,False
80,England,Switzerland,1,1,1996,False
267,Iceland,Hungary,1,1,2016,False
134,France,Netherlands,2,3,2000,False
16,Germany,Russia,3,0,1972,True
273,Croatia,Portugal,0,1,2016,False
263,Italy,Republic of Ireland,0,1,2016,False
254,Spain,Czech Republic,1,0,2016,True
195,Greece,Spain,1,2,2008,False
83,Scotland,England,0,2,1996,False
154,Denmark,Italy,0,0,2004,False
250,Germany,Poland,0,0,2016,False
238,France,Albania,2,0,2016,True
57,Netherlands,Russia,0,1,1988,False
284,Germany,France,0,2,2016,False
92,Germany,Czech Republic,2,0,1996,True
108,France,Czech Republic,0,0,1996,False
253,Turkey,Croatia,0,1,2016,False
84,Scotland,Switzerland,1,0,1996,True
65,Sweden,France,1,1,1992,False
37,France,Belgium,5,0,1984,True
106,Germany,Croatia,2,1,1996,True
240,Switzerland,France,0,0,2016,False
146,Spain,Portugal,0,1,2004,False
38,Denmark,Yugoslavia,5,0,1984,True
182,Austria,Poland,1,1,2008,False
217,Republic of Ireland,Croatia,1,3,2012,False
231,England,Italy,0,0,2012,False
35,France,Denmark,1,0,1984,True
225,Sweden,England,2,3,2012,False
97,Italy,Germany,0,0,1996,False
280,Wales,Belgium,3,1,2016,True
