Year,Country,Matches,AveGoalsFor,AveGoalsAgainst,HomeMatches,HomeAveGoalsFor,HomeAveGoalsAgainst,AwayMatches,AwayAveGoalsFor,AwayAveGoalsAgainst,Host,ChampCount,Champion
1960,Czechoslovakia,2.0,1.0,1.5,2.0,1.0,1.5,0.0,0.0,0.0,false,0.0,false
1960,France,2.0,2.0,3.5,1.0,4.0,5.0,1.0,0.0,2.0,true,0.0,false
1960,Russia,2.0,2.5,0.5,1.0,2.0,1.0,1.0,3.0,0.0,false,0.0,true
1960,Yugoslavia,2.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,3.0,false,0.0,false
1964,Denmark,2.0,0.5,3.0,1.0,0.0,3.0,1.0,1.0,3.0,false,0.0,false
1964,Hungary,2.0,2.0,1.5,1.0,3.0,1.0,1.0,1.0,2.0,false,0.0,false
1964,Russia,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,false,0.0,false
1964,Spain,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,true,1.0,true
1968,England,2.0,1.0,0.5,1.0,2.0,0.0,1.0,0.0,1.0,false,0.0,false
1968,Italy,3.0,1.0,0.3333333333333333,3.0,1.0,0.3333333333333333,0.0,0.0,0.0,true,1.0,true
1968,Russia,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,false,0.0,false
1968,Yugoslavia,3.0,0.6666666666666666,1.0,1.0,1.0,0.0,2.0,0.5,1.5,false,0.0,false
1972,Belgium,2.0,1.5,1.5,1.0,1.0,2.0,1.0,2.0,1.0,true,0.0,false
1972,Germany,2.0,2.5,0.5,1.0,3.0,0.0,1.0,2.0,1.0,false,1.0,true
1972,Hungary,2.0,0.5,1.5,2.0,0.5,1.5,0.0,0.0,0.0,false,0.0,false
1972,Russia,2.0,0.5,1.5,0.0,0.0,0.0,2.0,0.5,1.5,false,0.0,false
1976,Czechoslovakia,2.0,2.5,1.5,2.0,2.5,1.5,0.0,0.0,0.0,false,1.0,true
1976,Germany,2.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,false,1.0,false
1976,Netherlands,2.0,2.0,2.5,1.0,3.0,2.0,1.0,1.0,3.0,false,0.0,false
1976,Yugoslavia,2.0,2.0,3.5,1.0,2.0,4.0,1.0,2.0,3.0,true,0.0,false
1980,Belgium,4.0,1.0,1.0,3.0,1.3333333333333333,1.3333333333333333,1.0,0.0,0.0,false,0.0,false
1980,Czechoslovakia,4.0,1.25,1.0,2.0,0.5,1.0,2.0,2.0,1.0,false,1.0,false
1980,England,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.5,1.0,false,0.0,false
1980,Germany,4.0,1.5,0.75,1.0,3.0,2.0,3.0,1.0,0.3333333333333333,false,1.0,true
1980,Greece,3.0,0.3333333333333333,1.3333333333333333,2.0,0.5,1.5,1.0,0.0,1.0,false,0.0,false
1980,Italy,4.0,0.5,0.25,1.0,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,true,1.0,false
1980,Netherlands,3.0,1.3333333333333333,1.3333333333333333,2.0,1.0,0.5,1.0,2.0,3.0,false,0.0,false
1980,Spain,3.0,0.6666666666666666,1.3333333333333333,2.0,0.5,1.0,1.0,1.0,2.0,false,1.0,false
1984,Belgium,3.0,1.3333333333333333,2.6666666666666665,1.0,2.0,0.0,2.0,1.0,4.0,false,0.0,false
1984,Denmark,4.0,2.25,1.0,3.0,3.0,1.0,1.0,0.0,1.0,false,0.0,false
1984,France,5.0,2.8,0.8,5.0,2.8,0.8,0.0,0.0,0.0,true,2.0,true
